model_group,method,ade,fde,num_samples,summary_path,hidden_dim,num_layers,epochs,lr,dropout,alpha,d_model,nhead,dim_feedforward,raw_method,display_method
gru,gru_hidden_256_layers_3,0.9677293375901752,2.1439215129572733,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,256.0,3.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_3,gru_hidden_256_layers_3
lstm,lstm_hidden_128_layers_3,0.978107601697874,2.1808015158398617,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,128.0,3.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_3,lstm_hidden_128_layers_3
lstm,lstm_hidden_256_layers_2,0.994427200888326,2.181335427996766,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,256.0,2.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_2,lstm_hidden_256_layers_2
gru,gru_hidden_128_layers_3,0.9970715436343612,2.203734191250988,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,128.0,3.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_3,gru_hidden_128_layers_3
gru,gru_hidden_128_layers_2,1.003328225998716,2.240926675813336,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,128.0,2.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_2,gru_hidden_128_layers_2
lstm,lstm_hidden_128_layers_1,1.015841257552066,2.2945353371317405,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,128.0,1.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_1,lstm_hidden_128_layers_1
lstm,lstm_hidden_256_layers_1,1.033221931696806,2.308626414496757,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,256.0,1.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_1,lstm_hidden_256_layers_1
lstm,lstm_hidden_256_layers_3,1.0466411182715092,2.2670821932710665,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,256.0,3.0,100.0,0.001,0.1,,,,,lstm_hidden_256_layers_3,lstm_hidden_256_layers_3
lstm,lstm_hidden_64_layers_1,1.0609622445230011,2.3849139268263984,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,64.0,1.0,100.0,0.001,0.1,,,,,lstm_hidden_64_layers_1,lstm_hidden_64_layers_1
gru,gru_hidden_128_layers_1,1.0616490545216948,2.3656608384864573,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,128.0,1.0,100.0,0.001,0.1,,,,,gru_hidden_128_layers_1,gru_hidden_128_layers_1
gru,gru_hidden_256_layers_1,1.1067677798564546,2.418291322815507,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,256.0,1.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_1,gru_hidden_256_layers_1
gru,gru_hidden_64_layers_1,1.112896438055693,2.4583566128805447,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,64.0,1.0,100.0,0.001,0.1,,,,,gru_hidden_64_layers_1,gru_hidden_64_layers_1
lstm,lstm_hidden_128_layers_2,1.113417437902006,2.423046661804785,704,/workspaces/nuscenes_trajectory_demo/outputs/results/lstm/lstm_summary.csv,128.0,2.0,100.0,0.001,0.1,,,,,lstm_hidden_128_layers_2,lstm_hidden_128_layers_2
transformer,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,1.1255490116891451,2.42494842040039,704,/workspaces/nuscenes_trajectory_demo/outputs/results/transformer/transformer_summary.csv,,2.0,100.0,0.0003,0.1,,128.0,4.0,512.0,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,transformer_d128_heads_4_layers_2_ff_512_lr_0p0003
constant_velocity,constant_velocity_last_step,1.152591207942378,2.6385461937492933,704,/workspaces/nuscenes_trajectory_demo/outputs/results/constant_velocity/constant_velocity_summary.csv,,,,,,,,,,constant_velocity_last_step,constant_velocity_last_step
gru,gru_hidden_256_layers_2,1.1611983686452731,2.58188008912839,704,/workspaces/nuscenes_trajectory_demo/outputs/results/gru/gru_summary.csv,256.0,2.0,100.0,0.001,0.1,,,,,gru_hidden_256_layers_2,gru_hidden_256_layers_2
transformer,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,1.1681990230598869,2.5707846921868622,704,/workspaces/nuscenes_trajectory_demo/outputs/results/transformer/transformer_summary.csv,,2.0,100.0,0.0003,0.1,,128.0,4.0,256.0,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,transformer_d128_heads_4_layers_2_ff_256_lr_0p0003
linear_regression,ridge_regression,1.1692448788089678,2.679322338120652,704,/workspaces/nuscenes_trajectory_demo/outputs/results/linear_regression/linear_regression_summary.csv,,,,,,10.0,,,,ridge_regression,ridge_regression
transformer,transformer_d128_heads_4_layers_1_ff_256_lr_0p0003,1.1732063874925105,2.561317666375544,704,/workspaces/nuscenes_trajectory_demo/outputs/results/transformer/transformer_summary.csv,,1.0,100.0,0.0003,0.1,,128.0,4.0,256.0,transformer_d128_heads_4_layers_1_ff_256_lr_0p0003,transformer_d128_heads_4_layers_1_ff_256_lr_0p0003
linear_regression,linear_regression,1.1792011331073644,2.707784376461694,704,/workspaces/nuscenes_trajectory_demo/outputs/results/linear_regression/linear_regression_summary.csv,,,,,,,,,,linear_regression,linear_regression
mlp,mlp_hidden_256,1.189591170493672,2.641397457913792,704,/workspaces/nuscenes_trajectory_demo/outputs/results/mlp/mlp_summary.csv,,,,,,,,,,mlp_hidden_256,mlp_hidden_256
mlp,mlp_hidden_128,1.2039007337271783,2.6592229088445576,704,/workspaces/nuscenes_trajectory_demo/outputs/results/mlp/mlp_summary.csv,,,,,,,,,,mlp_hidden_128,mlp_hidden_128
transformer,transformer_d64_heads_4_layers_1_ff_128_lr_0p0003,1.2073777169200846,2.638715120991533,704,/workspaces/nuscenes_trajectory_demo/outputs/results/transformer/transformer_summary.csv,,1.0,100.0,0.0003,0.1,,64.0,4.0,128.0,transformer_d64_heads_4_layers_1_ff_128_lr_0p0003,transformer_d64_heads_4_layers_1_ff_128_lr_0p0003
mlp,mlp_hidden_64,1.2536050040296025,2.71617986495469,704,/workspaces/nuscenes_trajectory_demo/outputs/results/mlp/mlp_summary.csv,,,,,,,,,,mlp_hidden_64,mlp_hidden_64
constant_velocity,constant_velocity_smoothed,1.3001133271404384,2.847668970837152,704,/workspaces/nuscenes_trajectory_demo/outputs/results/constant_velocity/constant_velocity_summary.csv,,,,,,,,,,constant_velocity_smoothed,constant_velocity_smoothed
