method,err_0p5s,err_1p0s,err_1p5s,err_2p0s,err_2p5s,err_3p0s,err_3p5s,err_4p0s,err_4p5s,err_5p0s,err_5p5s,err_6p0s,feature_set,model_group,horizon_path,plots_root
constant_velocity_last_step,0.079596816411481,0.1930019340440842,0.335005584032223,0.498778968983474,0.6890124726714103,0.902246685965112,1.1404653969695409,1.3969370321627304,1.681038905704554,1.978960850602479,2.2975037539356644,2.6385461937492933,motion_yaw,constant_velocity,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/constant_velocity/constant_velocity_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
constant_velocity_smoothed,0.1251466127619096,0.270759246196855,0.4381657388633936,0.6230926699142959,0.8298652010766587,1.0553904312405806,1.305474393749302,1.5744759929005918,1.8653851888877648,2.168685438442398,2.4972499739553977,2.847668970837152,motion_yaw,constant_velocity,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/constant_velocity/constant_velocity_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
gru_hidden_64_layers_1,0.1084118371358768,0.2153313769882846,0.3333029208406928,0.4677378449854256,0.604849216904933,0.7692952392282512,0.951342218367658,1.1480939578935,1.3672648362004445,1.60119571118478,1.8620091841691069,2.1394111632649917,motion_yaw,gru,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
gru_hidden_128_layers_1,0.1103633112156372,0.220430820290527,0.3350934368003932,0.470173711521387,0.6175414581693158,0.7746412502972155,0.9378528185202,1.112233723701634,1.30851110225591,1.5220373916851135,1.7537898937741625,2.015351229760034,motion_yaw,gru,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
gru_hidden_256_layers_1,0.1002986777564894,0.1931298346025869,0.3101406096565453,0.4299435458960943,0.5656054651428183,0.7180460244714844,0.8782582701453727,1.0492592487855952,1.2362377894215486,1.443543340165475,1.6724306876421906,1.923914263469421,motion_yaw,gru,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
gru_hidden_128_layers_2,0.1330838256336309,0.2496555019527229,0.3717857513263218,0.5045386471822646,0.6563508879480651,0.8208935607439013,0.999271838159819,1.19829470363435,1.4040536088882205,1.6410814972048022,1.8863947488425763,2.1572248112140437,motion_yaw,gru,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
gru_hidden_256_layers_2,0.1189858720423547,0.2201577074903815,0.3387334649332016,0.4640138269559512,0.6015666067012883,0.7515822438535079,0.9208571494203748,1.1016571620870803,1.307474469480274,1.5183909334882628,1.747506910548757,2.000715476926416,motion_yaw,gru,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
gru_hidden_128_layers_3,0.1108455324695321,0.2117808739514492,0.322176990697368,0.4428000068053899,0.5735940782277876,0.7193137356311623,0.8695011391623253,1.0348765432592535,1.225813686614856,1.4255632026812568,1.6461169958873307,1.8935206402318063,motion_yaw,gru,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
gru_hidden_256_layers_3,0.1293026564212182,0.237428232096797,0.3528079371184999,0.4872677815384866,0.6288841147536666,0.783645125432403,0.943457785637954,1.120109099197593,1.3220792949234073,1.531745318777129,1.766895488790231,2.016513174434129,motion_yaw,gru,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/gru/gru_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
linear_regression,0.0864957969742218,0.1978176871074207,0.3377460088714459,0.4959986476050372,0.6823496397132245,0.8917836084901037,1.123012233546681,1.3762279004652307,1.660602783155892,1.9600851192788635,2.273519187734399,2.6140753069088203,motion_yaw,linear_regression,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/linear_regression/linear_regression_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
ridge_regression,0.0863820584908849,0.1988760991829291,0.3391677516238732,0.4993969582435305,0.6879370753459543,0.8984045122765978,1.1315014104290062,1.386628345525506,1.6740952915120446,1.977210057651973,2.293566473705472,2.637188413820695,motion_yaw,linear_regression,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/linear_regression/linear_regression_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
lstm_hidden_64_layers_1,0.1192977433531103,0.2288495435336286,0.3452122988730314,0.4697539370767613,0.6118364822015626,0.7712358534666816,0.9351380200622028,1.1239767336287927,1.3282160669148817,1.547933435502769,1.7900210209767962,2.056215047418556,motion_yaw,lstm,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
lstm_hidden_128_layers_1,0.1082143079579096,0.2113496503780797,0.3263613661843423,0.4462704295775355,0.5772178427039101,0.7304703486383501,0.885209037530744,1.052065447476211,1.24104165806652,1.4523218138545582,1.6881588436094304,1.943116677615432,motion_yaw,lstm,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
lstm_hidden_256_layers_1,0.1130880231711754,0.2167277399312297,0.3255674439546551,0.4573227785827343,0.601303211733466,0.7565093011256646,0.9211643304337156,1.097152070182016,1.294778116174381,1.5126509098137666,1.745717467123706,1.9920801096463532,motion_yaw,lstm,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
lstm_hidden_128_layers_2,0.1092792106655906,0.2101001028487107,0.3220319890900679,0.4454027028749062,0.5673886536935077,0.7063606498803975,0.855350360383785,1.017210585170026,1.1991380147585666,1.3916609696885147,1.615129581689292,1.861397318890588,motion_yaw,lstm,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
lstm_hidden_256_layers_2,0.1071331931115806,0.2097511812429399,0.3261821533180244,0.4547366413125102,0.592262481383593,0.7535658453608366,0.9176903329432456,1.0988761919910426,1.2973404792970873,1.5202450196480972,1.7513050254135372,2.011150013539009,motion_yaw,lstm,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
lstm_hidden_128_layers_3,0.1148105819631217,0.2167928303211242,0.3258860336483684,0.449054713866975,0.5722149658117401,0.7162618827771273,0.8627974544001105,1.0220439189645485,1.207566592157739,1.4027522951629097,1.6224654050668257,1.8652316953613823,motion_yaw,lstm,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
lstm_hidden_256_layers_3,0.114981824393908,0.2120646553779476,0.3289381286092314,0.4602947463873451,0.5914394581724826,0.7522527392912625,0.9207798249911072,1.1027339310676323,1.3057468064355569,1.5204124559492234,1.7535054913744468,2.010697702468447,motion_yaw,lstm,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/lstm/lstm_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
mlp_hidden_64,0.1471271074416026,0.2715398975646663,0.3830646433346952,0.5260371642629749,0.6985377683309211,0.8621838899712615,1.0942139972857232,1.3366062013040143,1.5954376870570492,1.8354137585384624,2.1260594414938665,2.409537376542424,motion_yaw,mlp,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/mlp/mlp_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
mlp_hidden_128,0.1096719515512218,0.2308352042830599,0.3573397505487347,0.5023900783833762,0.654860604773355,0.8336558294706099,1.033043151578485,1.2490755009540324,1.5102643317804905,1.7608171666958945,2.0341097628168594,2.3539160906346464,motion_yaw,mlp,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/mlp/mlp_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
mlp_hidden_256,0.1054360028278593,0.2078745485776545,0.3434010444623048,0.48046334666155,0.6353673628777456,0.7982559740269359,1.0093352273773812,1.2172089240709532,1.4596968778932933,1.721226743136702,1.979683263778332,2.283987212289172,motion_yaw,mlp,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/mlp/mlp_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
transformer_d64_heads_4_layers_1_ff_128_lr_0p0003,0.1336129125318786,0.2484179287011184,0.3718497066617022,0.5054890389796625,0.6682443875496656,0.8411924958472397,1.0305969564148902,1.23087555249301,1.474606884546202,1.7119083336134613,1.980745942162519,2.270656652454901,motion_yaw,transformer,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/transformer/transformer_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
transformer_d128_heads_4_layers_1_ff_256_lr_0p0003,0.1265173850589979,0.2333281034271666,0.347592134208257,0.484009871952532,0.6348078227567219,0.7986076582996744,0.9694196094564672,1.1542377729704392,1.3638434999093905,1.5794862878189055,1.833430887340166,2.1091696159444173,motion_yaw,transformer,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/transformer/transformer_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
transformer_d128_heads_4_layers_2_ff_256_lr_0p0003,0.1285313071669158,0.2317484817388256,0.3431740318218627,0.4712628152926548,0.610695824971613,0.7600333261156762,0.9262692117951122,1.114376162198658,1.3069472253436372,1.524741306826234,1.7610470228471309,2.012749534675756,motion_yaw,transformer,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/transformer/transformer_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
transformer_d128_heads_4_layers_2_ff_512_lr_0p0003,0.1397259447128983,0.2563466857956717,0.3776231409194059,0.4981706453853059,0.6452440932410933,0.7997016593852261,0.9689343478649708,1.1512459754052211,1.364442624537994,1.583906149863403,1.833861346623466,2.094662562609962,motion_yaw,transformer,/workspaces/nuscenes_trajectory_demo/outputs/results_motion_yaw/transformer/transformer_horizon_errors.csv,/workspaces/nuscenes_trajectory_demo/outputs/plots_motion_yaw
